game_date,home_team,pitch_type,description,launch_speed,launch_angle,stand,p_throws,release_speed,season,pitch_category,swing_outcome
2023-08-09,AZ,FC,hit_into_play,92.1,43,L,R,92.6,2023,Fastball,in_play
2023-09-20,AZ,KC,hit_into_play,93.0,22,L,R,85.3,2023,Breaking,in_play
2023-07-07,AZ,FF,foul,84.8,31,R,R,94.5,2023,Fastball,foul
2023-07-06,AZ,CU,foul,67.0,59,L,R,81.9,2023,Breaking,foul
2023-08-21,AZ,FS,swinging_strike_blocked,,,L,R,86.0,2023,Offspeed,whiff
2023-09-01,AZ,FF,foul,78.2,17,R,R,99.0,2023,Fastball,foul
2023-09-30,AZ,FF,foul,78.4,50,R,R,92.3,2023,Fastball,foul
2023-05-30,AZ,FF,swinging_strike,,,L,R,93.4,2023,Fastball,whiff
2023-04-09,AZ,FC,hit_into_play,95.0,-11,R,R,91.3,2023,Fastball,in_play
2023-07-08,AZ,ST,hit_into_play,90.0,35,R,R,81.1,2023,Breaking,in_play
2023-07-05,AZ,FC,hit_into_play,92.1,40,L,R,94.3,2023,Fastball,in_play
2023-06-01,AZ,SL,swinging_strike,,,L,L,84.7,2023,Breaking,whiff
2023-05-12,AZ,FF,hit_into_play,90.7,41,R,L,90.9,2023,Fastball,in_play
2023-04-26,AZ,SI,swinging_strike,,,L,L,92.9,2023,Fastball,whiff
2023-07-07,AZ,CH,hit_into_play,85.4,23,L,R,89.5,2023,Offspeed,in_play
2023-09-17,AZ,SI,foul,100.3,19,R,L,91.6,2023,Fastball,foul
2023-04-07,AZ,FF,hit_into_play,107.4,24,L,L,91.4,2023,Fastball,in_play
2023-06-16,AZ,FF,swinging_strike,,,L,R,92.8,2023,Fastball,whiff
2023-05-26,AZ,ST,hit_into_play,105.4,21,R,R,83.4,2023,Breaking,in_play
2023-04-08,AZ,CH,swinging_strike,,,R,R,85.9,2023,Offspeed,whiff
2023-10-01,AZ,FF,foul,87.4,49,R,R,97.8,2023,Fastball,foul
2023-05-11,AZ,FS,hit_into_play,92.1,-14,L,R,89.5,2023,Offspeed,in_play
2023-09-30,AZ,CU,swinging_strike,,,R,R,74.2,2023,Breaking,whiff
2023-07-26,AZ,FF,foul,77.1,22,L,L,93.5,2023,Fastball,foul
2023-06-13,AZ,FF,foul_tip,,,L,R,89.8,2023,Fastball,whiff
2023-09-16,AZ,FF,hit_into_play,96.2,2,L,R,88.1,2023,Fastball,in_play
2023-05-29,AZ,SI,hit_into_play,101.9,-16,R,R,90.3,2023,Fastball,in_play
